Story,Area,Code,Definition of Done,Dependencies,Epic,Exit Criteria,Horizon,Legacy Source,Order,Prefix,Priority,Repo Evidence,Source GDD,Spec State,Status,Summary,System Area,Theme,Type,Wave
"Add the simple crafting and Sanctum project baseline so the foundation build has a first crafted item, a first project seam, and the V2 item plus Ekwan plus Ase economy contract.",Economy / Support,V2-ECONOMY-003,"Backlog and data seams support a first simple crafted item, a first project state, and clear crafting costs tied to Ekwan and Ase; later recipe breadth can remain open.","V2-ITEM-001, V2-ITEM-003, V2-ECONOMY-002, V2-CONTINUITY-001",Inventory and Loadout,"The foundation build can express early making and upgrading, not only finding and equipping.",Foundation,None,249.1,ECONOMY,P1,/Users/jeffreygyamfi/Sites/echoes-vnext/core/economy/http://EconomyService.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/ui/screens/sanctum/http://SanctumScreen.gd,"Echoes vNext Working GDD V2 sections 19.5, 19.6, and 20 foundation targets: simple early crafting should be present; crafting usually costs item plus Ekwan plus Ase; Sanctum projects are an early item source.",Open,Ready,Preserve the missing crafting knowledge now so the foundation does not ship with inventory and no meaningful item circulation or creation loop.,ECONOMY / EMOTION / COMBAT,Economy,New,Foundation
"Build the Sanctum incident and routine framework so pulse, bonds, vows, institutions, and Realm pressure can generate surfaced house events instead of leaving the house mostly silent between runs.",Sanctum,V2-SANCTUM-005,"Sanctum runtime can queue, persist, and surface lightweight incidents or routine beats driven by house state, bonds, vows, institution state, and recent Realm outcomes; the system remains deterministic and save-safe.","V2-SANCTUM-004, V2-BOND-002, V2-VOW-002, V2-CONTINUITY-001",House Growth Seed,The Sanctum starts behaving like a living house rather than only a navigation hub.,Foundation,"SANCTUM-006, SANCTUM-007, SANCTUM-008, SANCTUM-009",248,SANCTUM,P1,/Users/jeffreygyamfi/Sites/echoes-vnext/core/state/flow/states/sanctum/http://FlowSanctumState.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/ui/screens/sanctum/http://SanctumScreen.gd,"Echoes vNext Working GDD V2 sections 18.10, 21.2, and 20 foundation targets: the Sanctum should use spatial visualization, ambient incidents, and lightweight routine presentation, with stronger incident expression as the house deepens.",Open,Ready,Create the house-event seam that turns pulse and social state into visible incidents and routine texture.,SANCTUM / BOND / VOW / VOICE,Sanctum Life,New,Foundation
"Introduce the first assignable jobs and office logic so Echoes can hold house responsibilities that shift pulse, incident pressure, and role identity before the full institution tree opens.",Sanctum,V2-SANCTUM-006,"At least the early office or job assignments for the opening institutions can be stored, surfaced, and read by pulse and incident systems; assignments are save-safe and visible in Sanctum management flows.","V2-SANCTUM-002, V2-SANCTUM-004, V2-CONTINUITY-001",House Growth Seed,House role assignment becomes part of the player’s steering layer in the foundation build.,Foundation,SANCTUM-003,249,SANCTUM,P1,/Users/jeffreygyamfi/Sites/echoes-vnext/ui/screens/sanctum/http://EchoPartyScreen.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/ui/screens/sanctum/EchoPartyScreen.tscn,"Echoes vNext Working GDD V2 sections 18.10, 20 foundation targets, and 21.2: assignable jobs and responsibilities should shape the house and read through Sanctum pulses, with only early offices available at first.",Mostly Locked,Ready,Use the existing UI seam for jobs to make house responsibility a live system instead of a disabled affordance.,SANCTUM / BOND / VOW / VOICE,Sanctum Life,New,Foundation
Preserve the death-formed relic and remembrance scaffold so Echo death can eventually produce special house-memory artifacts without collapsing relics into ordinary loot or losing the V2 remembrance thread.,Narrative / Content,V2-ITEM-005,The backlog and data model reserve a clean seam for special death-formed relic outcomes and house remembrance surfaces without forcing final content rules yet.,"V2-ITEM-002, V2-SANCTUM-005, V2-PROG-011",Inventory and Loadout,The project cannot accidentally forget the remembrance role of relics while implementing ordinary inventory and rewards.,Foundation,ITEM-001,249.2,SANCTUM,P2,/Users/jeffreygyamfi/Sites/echoes-vnext/core/actors/http://ActorSchema.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/core/state/flow/states/venture/http://FlowEncounterState.gd,"Echoes vNext Working GDD V2 sections 19.9 and 21.1: some relics can form from Echo death under specific conditions, and they should be a special remembrance category rather than the primary relic economy.",Open,Draft,Keep the remembrance and relic-formation knowledge in the foundation backlog even if exact conditions stay open for later tuning.,SANCTUM / BOND / VOW / VOICE,Sanctum Life,New,Foundation
Define how directives and scouting stances modify behavior across different Echo profiles so the same stance does not flatten everyone into the same tactical response.,Realm / Tactical,V2-DIRECTIVE-002,Directive stance data can vary behavior impact by Echo profile or state; tests cover at least contrasting profile outcomes under the same directive.,"V2-DIRECTIVE-001, V2-PROG-010, V2-COMBAT-003",Stage Influence Layer,Directive choice remains a player-influence tool rather than a single flat buff or flag.,Foundation,DIRECTIVE-002,254,DIRECTIVE,P1,core/directives/[DirectiveService.gd](http://DirectiveService.gd); core/actors/behaviors/[BehaviorArbiter.gd](http://BehaviorArbiter.gd); docs/proposals/[keeper-tactical-guidance-promotion.md](http://keeper-tactical-guidance-promotion.md); docs/proposals/[keeper-tactical-guidance-architecture.md](http://keeper-tactical-guidance-architecture.md),"Echoes vNext Working GDD V2.5 sections 11.5, 20.17, and 21.3: persistent Directives must remain broad party intent and produce different behavior across Echo profiles; temporary Keeper guidance layers onto, rather than replaces, that intent.",Open,Ready,Keep directive influence expressive by tying it to who the Echo already is.,DIRECTIVE / INTEL / STAGE,Directives,New,Foundation
"Define hidden autonomy and maturity-expression weighting so interpretation, hesitation, objection, refusal, and self-assertion remain coherent without turning Standing into obedience.",Echo Progression,V2-PROG-012,"Runtime has named tuning seams for autonomy and maturity thresholds, with logging or snapshot visibility sufficient to explain interpretation, hesitation, objection, and refusal without exposing raw hidden weights or treating higher Standing as obedience.","V2-PROG-010, V2-EMOTION-001",Person-Shaping Readability,"Autonomy and temporary-guidance responses can be tuned coherently instead of through scattered behavior adjustments; higher Standing produces clearer judgment and self-assertion, not greater compliance.",Foundation,PROG-010,251,PROG,P1,core/actors/behaviors/[BehaviorArbiter.gd](http://BehaviorArbiter.gd); core/actors/[SmartnessTierService.gd](http://SmartnessTierService.gd); prototypes/keeper_tactical_guidance/[FINDINGS.md](http://FINDINGS.md); docs/proposals/[keeper-tactical-guidance-promotion.md](http://keeper-tactical-guidance-promotion.md); docs/proposals/[keeper-tactical-guidance-architecture.md](http://keeper-tactical-guidance-architecture.md),"Echoes vNext Working GDD V2.5 sections 11.5, 20.17, and 21.3: autonomy and maturity shape event-local interpretation and refusal; higher Standing never means increased obedience.",Open,Draft,"Make autonomy and maturity explicit tuning inputs for reason-bearing behavior while preserving higher Standing as stronger self-command, not compliance.",PROG,Emotion,New,Foundation
"Define Thread reserve cap, expansion cadence, and overflow UX so reserve pressure is meaningful without collapsing into abrupt punishment or invisible waste.",Echo Progression,V2-WEAVE-003,"Backlog and data seams represent reserve cap, expansion hooks, and overflow handling; exact numbers may stay tunable but the runtime model is explicit.","V2-WEAVE-001, V2-WEAVE-002, V2-MIG-002",Reduced Weave Foundation,Thread reserve has a clear structure and overflow behavior before broader Weave depth lands.,Foundation,None,255,WEAVE,P2,/Users/jeffreygyamfi/Sites/echoes-vnext/docs/Echoes vNext Working http://GDD.md,"Echoes vNext Working GDD V2 section 21.4: reserve cap numbers, expansion cadence, and overflow UX remain open.",Open,Draft,Preserve reserve-pressure knowledge now so Thread storage does not become arbitrary or invisible later.,WEAVE,Threads,New,Foundation
Define fallout rules and severity bands for contested non-chosen Echoes so foundational Weave outcomes can carry person-shaping consequence without requiring full contested rite depth yet.,Echo Progression,V2-WEAVE-005,"Backlog and runtime planning define at least light, moderate, and severe fallout hooks for non-chosen Echoes affected by rite pressure; exact tables can remain tunable.","V2-WEAVE-002, V2-PROG-012",Reduced Weave Foundation,The foundation rite layer already knows how non-chosen Echoes can be affected.,Foundation,None,257,WEAVE,P2,/Users/jeffreygyamfi/Sites/echoes-vnext/docs/Echoes vNext Working http://GDD.md,Echoes vNext Working GDD V2 section 21.4: fallout tables and severity rules for contested non-chosen Echoes remain open.,Open,Draft,Preserve the contested-fallout knowledge as a bounded foundation seam instead of losing it until post-foundation rite expansion.,WEAVE,Rite,New,Foundation
Define the first jobs and passive institution-scaling rules so early institutions can do more than unlock visually and instead start affecting house behavior and recovery.,Sanctum,V2-SANCTUM-006,"The first job slots and passive effects are represented in data and backlog contracts, with clear hooks into pulse, recovery, and party support; exact values can remain tunable.","V2-SANCTUM-002, V2-SANCTUM-004, V2-SANCTUM-005",House Growth Seed,Early institutions have a real gameplay role beyond presence and flavor.,Foundation,SANCTUM-BLD-003,249,SANCTUM,P2,/Users/jeffreygyamfi/Sites/echoes-vnext/ui/shells/http://SanctumShell.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/ui/screens/sanctum/http://SanctumScreen.gd,"Echoes vNext Working GDD V2 section 21.2: first-institution passives, jobs, and scaling rules remain open and need explicit definition.",Open,Superseded,Preserve the missing jobs and passive-value knowledge before institutions harden as empty unlocks.,SANCTUM / BOND / VOW / VOICE,Sanctum Life,New,Foundation
"Add a Sanctum incidents and routines framework so the house can surface small autonomous events, warnings, and social pressure between runs instead of staying a static menu shell.",Sanctum,V2-SANCTUM-005,"Sanctum runtime can schedule or surface incidents and routine pressure from pulse, bonds, vows, and recent Realm consequence; UI has a deterministic warning surface for them.","V2-SANCTUM-004, V2-BOND-002, V2-VOW-002",House Growth Seed,The house begins to feel like it has ongoing life between ventures.,Foundation,"SANCTUM-006, SANCTUM-007, SANCTUM-008, SANCTUM-009",248,SANCTUM,P1,/Users/jeffreygyamfi/Sites/echoes-vnext/core/state/flow/states/sanctum/http://FlowSanctumState.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/ui/screens/sanctum/http://SanctumScreen.gd,"Echoes vNext Working GDD V2 sections 21.2 and 22.3: Sanctum should evolve as a socially pressurized house, not just a functional hub.",Open,Superseded,Superseded duplicate of V2-SANCTUM-005. Canonical card: 339c3d1e-de92-817a-96ee-f761cc5f2e15.,SANCTUM / BOND / VOW / VOICE,Sanctum Life,New,Foundation
"Add pre-run warning language for party incoherence, overcommitment, and likely refusal so the player can read risk before entering a stage instead of learning only from failure.",Narrative / Content,V2-VOICE-002,Party prep surfaces clear warnings or caution language tied to real runtime signals; warnings stay interpretive and do not dump hidden formulas.,"V2-PROG-012, V2-EMOTION-001, V2-VOICE-001",Person-Shaping Readability,The player can recognize unstable party composition before entering a dangerous stage.,Foundation,VOICE-002,252,VOICE,P1,/Users/jeffreygyamfi/Sites/echoes-vnext/core/state/flow/states/sanctum/http://FlowEchoPartyState.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/core/echoes/http://ShoutBank.gd,Echoes vNext Working GDD V2 section 21.3: pre-run warning language for incoherence and likely refusal is still open and needed for readable influence.,Open,Ready,"Let the player see unstable party pressure before commitment, not just after things go wrong.",SANCTUM / BOND / VOW / VOICE,Voice,New,Foundation
Define death-formed relic conditions so remembrance items can exist as meaningful consequences without turning every death into a generic loot drop.,Sanctum,V2-ITEM-006,"Backlog and runtime planning define when a death can form a relic, what kind of conditions matter, and how it surfaces in resolve or Sanctum return; exact probabilities can remain tunable.","V2-ITEM-001, V2-ITEM-002, V2-SANCTUM-001",Inventory and Loadout,Death relics can exist as meaningful remembrance consequences without muddying ordinary item rewards.,Foundation,ITEM-001,260,SANCTUM,P2,/Users/jeffreygyamfi/Sites/echoes-vnext/core/state/flow/states/venture/http://FlowEncounterState.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/ui/screens/venture/http://ResolveScreen.gd,Echoes vNext Working GDD V2 sections 19.9 and 21.1: death-formed relic conditions remain open and should be tied to remembrance rather than ordinary loot.,Open,Draft,Preserve the death-relic knowledge now so later memorialization and item systems have a clear foundation seam.,SANCTUM / BOND / VOW / VOICE,Sanctum Life,New,Foundation
"Define the six visible Continuity bands, milestone thresholds, and candidate-surfacing weights so Continuity can behave like a real progression spine instead of a vague progress bar.",Sanctum,V2-CONTINUITY-002,"Continuity data supports six visible bands, candidate unlock hooks, and blocker-weight logic; exact numeric thresholds can remain tunable but the model is explicit.","V2-CONTINUITY-001, V2-SANCTUM-004",House Growth Seed,Continuity can drive institution and house growth coherently instead of acting as generic progress.,Foundation,SANCTUM-005,258,CONTINUITY,P1,/Users/jeffreygyamfi/Sites/echoes-vnext/ui/screens/sanctum/http://SanctumScreen.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/docs/Echoes vNext Working http://GDD.md,"Echoes vNext Working GDD V2 sections 21.5 and 22.3: exact Continuity bands, candidate mapping, and weighting remain open but are core to the progression spine.",Open,Draft,Lock the milestone and candidate-surfacing structure before more institution content depends on it.,SANCTUM / BOND / VOW / VOICE,Continuity,New,Foundation
"Formalize one deterministic behavior-arbitration and explanation seam for Directive, temporary Keeper guidance, identity, emotion, danger, hazards, and objective pressure.",Economy / Support,V2-COMBAT-003,"Behavior arbitration consumes Directive, temporary Keeper guidance, Calling, fear, morale, bonds, Standing, maturity expression, current danger, hazard exposure, and COMBAT-002 objective pressure through one deterministic seam; structured results expose the chosen action and a clear primary reason without creating an obedience score.","V2-COMBAT-001, V2-COMBAT-002, V2-BOND-002, V2-VOW-002, V2-PROG-012",Stage Influence Layer,"Behavior conflicts and temporary-guidance responses are reproducible, testable, and explainable; no adjacent system silently overrides another or bypasses Echo identity.",Foundation,COMBAT-008,253,COMBAT,P1,core/actors/behaviors/[BehaviorArbiter.gd](http://BehaviorArbiter.gd); core/actors/[ActorStateMachine.gd](http://ActorStateMachine.gd); core/combat/[CombatState.gd](http://CombatState.gd); core/directives/[DirectiveService.gd](http://DirectiveService.gd); docs/[combat-modes.md](http://combat-modes.md); prototypes/keeper_tactical_guidance/[SPEC.md](http://SPEC.md); prototypes/keeper_tactical_guidance/[FINDINGS.md](http://FINDINGS.md); docs/proposals/[keeper-tactical-guidance-promotion.md](http://keeper-tactical-guidance-promotion.md); docs/proposals/[keeper-tactical-guidance-architecture.md](http://keeper-tactical-guidance-architecture.md),"Echoes vNext Working GDD V2.5 sections 7.3, 11.5, 20.17, and 21.3: Directive and temporary Keeper guidance must resolve with identity, emotion, danger, hazards, and objective pressure through one deterministic, reason-bearing behavior authority.",Open,Ready,"Resolve every major combat influence through one testable authority that explains why an Echo aligned, interpreted, hesitated, objected, refused, or chose another action.",ECONOMY / EMOTION / COMBAT,Combat,New,Foundation
"Create a stable clue vocabulary for rite fit, readiness, and strain so the first Weaving Rite surfaces legible signals instead of opaque success or failure feels.",Echo Progression,V2-WEAVE-004,"Rite-facing UI and snapshot surfaces use a bounded clue vocabulary for fit, readiness, and strain; language stays consistent across acceptance, deferral, and rejection outcomes.",V2-WEAVE-002,Reduced Weave Foundation,Rite surfacing is readable enough to teach the player what is happening without exposing raw hidden scores.,Foundation,None,256,WEAVE,P1,/Users/jeffreygyamfi/Sites/echoes-vnext/ui/overlays/http://RankUpOverlay.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/docs/Echoes vNext Working http://GDD.md,"Echoes vNext Working GDD V2 section 21.4: stable clue vocabulary for rite fit, readiness, and strain remains open and needed for surfacing.",Open,Ready,Define the readable language layer for foundation rite invitations and outcomes.,WEAVE,Rite,New,Foundation
"Define the restrained rarity ladder and item-grade spread so early inventory pressure, stage drops, crafting, and relic identity can share one coherent item economy.",Economy / Support,V2-ITEM-005,"Backlog and data contracts define a bounded grade ladder and the intended spread between low-tier gear, meaningful gear, and rare relics; exact drop rates can remain tunable.","V2-ITEM-001, V2-ITEM-002, V2-ECONOMY-001",Inventory and Loadout,Item reward cadence has a coherent grade structure before content scale-up.,Foundation,ITEM-001,259,ECONOMY,P2,/Users/jeffreygyamfi/Sites/echoes-vnext/data/balance.json; /Users/jeffreygyamfi/Sites/echoes-vnext/docs/Echoes vNext Working http://GDD.md,"Echoes vNext Working GDD V2 sections 19.5, 19.6, and 21.1: rarity ladder and item-grade spread remain open but should stay restrained.",Open,Draft,Preserve the item-grade knowledge now so rewards and crafting do not drift into noisy loot inflation.,ECONOMY / EMOTION / COMBAT,Economy,New,Foundation
"Define the foundation Ekwan loop so material and build capacity stays distinct from Ase and can power crafting, projects, rooms, and prep without reading as generic gold.",Economy / Support,V2-ECONOMY-004,"The backlog and data seams clearly separate Ekwan from Ase in costs, rewards, and project use; early crafting and project stories can depend on that split directly.","V2-ECONOMY-001, V2-ECONOMY-003, V2-ITEM-001",Economy Cadence,Foundation economy supports building and making with the intended two-resource split.,Foundation,ECONOMY-001,264,ECONOMY,P1,/Users/jeffreygyamfi/Sites/echoes-vnext/core/economy/http://EconomyService.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/core/economy/http://EconomyAccrualService.gd,Echoes vNext Working GDD V2 sections 19.6 and 21.1: Ekwan pays material and build cost while Ase pays shaping or attunement cost.,Mostly Locked,Ready,Make the material economy explicit so crafting and project work do not collapse into a single-currency shorthand.,ECONOMY / EMOTION / COMBAT,Economy,New,Foundation
"Add a single pre-stage readiness surface that synthesizes directive choice, known intel, party prep, loadout, and current fear or morale risk into one legible go or wait decision before commitment.",Foundation / Migration,V2-INFRA-004,"The player sees one concise readiness surface that combines directive, intel, prep, loadout, and emotional risk; it is snapshot-driven and does not expose noisy internals.","V2-DIRECTIVE-001, V2-INTEL-001, V2-PROG-005, V2-ITEM-003, V2-EMOTION-001",Foundation Proof Spine,Stage entry becomes a legible Keeper decision instead of a blind button press.,Foundation,None,261,INFRA,P1,core/state/flow/states/venture/[FlowStageMapState.gd](http://FlowStageMapState.gd); ui/screens/venture/[StageMapScreen.gd](http://StageMapScreen.gd); prototypes/keeper_tactical_guidance/[FINDINGS.md](http://FINDINGS.md); docs/proposals/[keeper-tactical-guidance-promotion.md](http://keeper-tactical-guidance-promotion.md); docs/proposals/[keeper-tactical-guidance-architecture.md](http://keeper-tactical-guidance-architecture.md),"Echoes vNext Working GDD V2.5 sections 20.17 and 23.1: pre-stage readiness must synthesize known intel, Directive, party state, loadout, and emotional risk while tactical deployment retains one visible party representation and one Echo-selection path.",Mostly Locked,Ready,Go beyond isolated warnings and give the player one integrated readiness read before commitment.,INFRA / MIGRATION,Implementation Alignment,New,Foundation
"Implement the minimum foundation death-ripple package so any permadeath always removes the Echo, applies morale and fear fallout, triggers bond or grief consequences, and can seed a Sanctum incident before rarer branches.",Foundation / Migration,V2-INFRA-005,"Any permadeath removes the Echo from roster state, applies emotion fallout, moves bond or grief consequence, and can trigger a follow-up Sanctum incident or warning; the result is visible in return flow.","V2-BOND-002, V2-EMOTION-001, V2-SANCTUM-005, V2-ITEM-005",Foundation Proof Spine,Foundation permadeath is never emotionally or systemically silent.,Foundation,"BOND-002, SANCTUM-004",262,INFRA,P0,/Users/jeffreygyamfi/Sites/echoes-vnext/core/state/flow/states/venture/http://FlowEncounterState.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/core/state/flow/states/sanctum/http://FlowSanctumState.gd,"Echoes vNext Working GDD V2 sections 20.17 and 23.1: loss, fear, morale, bond fallout, and Sanctum consequence must be real in the foundation.",Locked,Ready,Make death always carry a reliable baseline consequence package before rare memorial branches or specialized reactions.,INFRA / MIGRATION,Implementation Alignment,New,Foundation
"Add the late-foundation institution unlock wave so Council Hall, Smith or Crafter, and Old Great Tree plus their paired offices or jobs can enter play after Hearth and Training Grounds without breaking the pulse and Continuity spine.",Sanctum,V2-SANCTUM-007,"Backlog and data seams explicitly cover Council Hall, Smith or Crafter, and Old Great Tree plus their paired offices or jobs as foundation unlocks after the opening pair.","V2-CONTINUITY-001, V2-SANCTUM-005, V2-SANCTUM-006, V2-SANCTUM-002",House Growth Seed,"The foundation backlog still contains the full five-institution house target, not only the opening two.",Foundation,"SANCTUM-BLD-002, SANCTUM-BLD-003",263,SANCTUM,P2,/Users/jeffreygyamfi/Sites/echoes-vnext/ui/sanctum/http://SanctumSpatialRenderer.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/ui/screens/sanctum/http://SanctumScreen.gd,"Echoes vNext Working GDD V2 sections 20.17 and 21.2: full foundation scope includes all five institutions and corresponding offices or jobs, with only the first two opening early.",Mostly Locked,Draft,Preserve the broader institution set as part of foundation scope instead of treating it as post-foundation by accident.,SANCTUM / BOND / VOW / VOICE,Sanctum Life,New,Foundation
"Implement the locked first-session proof spine from dormant Sanctum through awakening, second summon, fixed opening Realm, first real hidden-info stage, and return-to-Sanctum consequence handoff so the foundation cutline has one coherent playable arc.",Foundation / Migration,V2-INFRA-003,The opening flow has a single documented and implementable spine from awakening through first real post-starter stage and return fallout; dependencies across the involved states are explicit and testable.,"V2-ECONOMY-001, V2-DIRECTIVE-001, V2-STAGE-001, V2-INTEL-001, V2-WEAVE-001, V2-SANCTUM-001",Foundation Proof Spine,Foundation implementation can target one coherent proof arc rather than a bag of disconnected systems.,Foundation,"MVP-001, SANCTUM-001, REALM-001",260,INFRA,P0,/Users/jeffreygyamfi/Sites/echoes-vnext/core/state/flow/http://FlowStateMachine.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/core/state/flow/states/sanctum; /Users/jeffreygyamfi/Sites/echoes-vnext/core/state/flow/states/venture,Echoes vNext Working GDD V2 sections 20.14-20.17 and 22.4: the foundation cutline should prove the fantasy through one coherent early playable spine.,Locked,Ready,Preserve the opening-sequence knowledge as one implementation story instead of leaving it scattered across many lower-level tasks.,INFRA / MIGRATION,Implementation Alignment,New,Foundation
"Add deployment-cost tuning, departure pressure, and multi-mythic strain so mythic Echoes reshape house decisions instead of becoming unrestricted apex units.",Sanctum,V2-SANCTUM-013,"Mythic use is gated by deployment cost or departure pressure, multiple mythics create strain by default, and the house responds to those pressures in visible ways.","V2-PROG-015, V2-CONTINUITY-003, V2-SANCTUM-009",Mythic Progression,"Mythic Echoes feel weighty and socially disruptive, not merely stronger.",Full Game,None,540,SANCTUM,P1,/Users/jeffreygyamfi/Sites/echoes-vnext/docs/Echoes vNext Working http://GDD.md,"Echoes vNext Working GDD V2 sections 11.8 and 21.6: mythic Echoes should create deployment cost, departure pressure, and multi-mythic strain.",Open,Draft,Complete mythic house pressure so high-end progression changes the whole run structure.,SANCTUM / BOND / VOW / VOICE,Continuity,New,Full Game
"Add claimed and named gear events so transferable equipment can still accumulate attachment, identity texture, and small emotional effects over time.",Economy / Support,V2-ITEM-008,"Gear can become claimed or named through events, carry modest emotional or identity effects, and still remain compatible with shared-inventory logic.","V2-ITEM-003, V2-ITEM-004",Inventory and Loadout,"Items support attachment and memory, not only stats and slots.",Post-Foundation,None,510,ECONOMY,P2,/Users/jeffreygyamfi/Sites/echoes-vnext/docs/Echoes vNext Working http://GDD.md,Echoes vNext Working GDD V2 section 19.8: gear should stay transferable by default but can become claimed or named through choice events.,Open,Superseded,Add light attachment without locking inventory into hard ownership too early.,ECONOMY / EMOTION / COMBAT,Economy,New,Expansion
"Implement the Standing-6 milestone layer so second calling growth, family drift, and personalized progression can move beyond foundational recognition into real mid-game identity change.",Echo Progression,V2-PROG-012,"Standing-6 callings can be earned, surfaced, and persisted; growth reflects calling family drift and prior identity shaping rather than a flat upgrade.","V2-PROG-007, V2-PROG-008, V2-PROG-009",Calling Lattice Bridge,"Mid-game calling progression feels like the next stage of becoming, not just a bigger rank.",Post-Foundation,PROG-008,410,PROG,P1,/Users/jeffreygyamfi/Sites/echoes-vnext/core/progression/http://CallingService.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/docs/http://calling-reference.md,"Echoes vNext Working GDD V2: second and third calling milestones are later expansion, with Standing-6 names already locked.",Mostly Locked,Draft,Turn the mid-tier calling lattice from data support into real progression play.,PROG,Callings,New,Expansion
"Let mythic Echoes reshape house culture, rites, offices, and future Echo expectations so they become living reference points inside the Sanctum rather than capped endgame trophies.",Sanctum,V2-SANCTUM-014,"Mythic Echoes can bend house culture, open rite or office variants, and affect future Echo shaping or institution behavior in distinct ways.","V2-PROG-015, V2-SANCTUM-013",Mythic Progression,The house remembers and changes around its mythics.,Full Game,None,550,SANCTUM,P2,/Users/jeffreygyamfi/Sites/echoes-vnext/docs/Echoes vNext Working http://GDD.md,"Echoes vNext Working GDD V2 sections 11.8 and 16.12: mythic Echoes should reshape house custom, rites, offices, and future life.",Open,Draft,Complete the mythic social endgame so mythics transform the house instead of ending the story.,SANCTUM / BOND / VOW / VOICE,Continuity,New,Full Game
"Implement the full contested Weaving Rite depth with Partially Integrate, Distort, and remedy hooks so Weaving can create unstable, incomplete, and dangerous outcomes beyond Accept, Reject, and Defer.",Echo Progression,V2-WEAVE-006,"Rite resolution can produce partial integration and distortion states with aftermath, visibility rules, and remedy hooks; non-chosen fallout integrates with those outcomes.","V2-WEAVE-002, V2-WEAVE-004, V2-PROG-013",Weave Expansion,"Weaving supports unstable and incomplete story recovery, not only clean acceptance or rejection.",Post-Foundation,VOW-003,430,WEAVE,P1,/Users/jeffreygyamfi/Sites/echoes-vnext/docs/Echoes vNext Working http://GDD.md,"Echoes vNext Working GDD V2 sections 14 and 22.5: contested rite depth remains real future structure, not removed conceptually.",Mostly Locked,Draft,Add the rest of the Rite outcome language once the reduced foundation loop is stable.,WEAVE,Rite,New,Expansion
"Build the remembrance and memorial layer so death relics, named artifacts, and house memory displays can preserve lost Echoes without turning death into a reward economy.",Sanctum,V2-ITEM-009,"The house can preserve remembrance artifacts, memorial displays, or equivalent memory surfaces tied to loss and named items; death remains weighty rather than lucrative.","V2-ITEM-005, V2-ITEM-008, V2-INFRA-005",Inventory and Loadout,"Loss leaves memory and culture behind, not only absence.",Full Game,ITEM-001,570,SANCTUM,P2,/Users/jeffreygyamfi/Sites/echoes-vnext/docs/Echoes vNext Working http://GDD.md,Echoes vNext Working GDD V2: remembrance artifacts and death-formed relics should preserve house memory without making death economically desirable.,Open,Draft,Complete the house-memory side of item and relic systems for the full game.,SANCTUM / BOND / VOW / VOICE,Sanctum Life,New,Full Game
"Add higher summon tiers and wider summon complexity so later-house play can shape broader Echo arrival patterns, rarity, and summoning pressure beyond the foundation summon loop.",Sanctum,V2-SANCTUM-012,"Summoning supports later-house complexity in tiers, conditions, or arrival patterns while preserving the fiction of calling Echoes into the house.","V2-INFRA-003, V2-CONTINUITY-003",Sanctum Social Expansion,Summoning grows into a broader long-run system instead of remaining a starter-only gate.,Post-Foundation,SANCTUM-001,500,SANCTUM,P2,/Users/jeffreygyamfi/Sites/echoes-vnext/core/state/flow/states/sanctum/http://FlowSummonState.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/ui/screens/sanctum/http://SummonScreen.gd,Echoes vNext Working GDD V2: higher summon tiers and wider summon complexity remain later expansion after the basic summon loop is proven.,Open,Draft,Expand who arrives and under what pressure only after the opening summon flow is stable.,SANCTUM / BOND / VOW / VOICE,Sanctum Life,New,Expansion
"Expand Realm and stage variety into the later-game structure with harder multi-objective chains, stronger replay differentiation, and broader pressure flavors across multiple Realms.",Realm / Tactical,V2-STAGE-009,"Later Realms and replayed Realms can express broader tone, objective chains, and pressure structure without collapsing into minor variants of the same stage.","V2-STAGE-002, V2-STAGE-004, V2-COMBAT-004",Realm Expansion,The full game has enough Realm variety to sustain long-form play.,Full Game,"REALM-004, REALM-005",560,STAGE,P2,/Users/jeffreygyamfi/Sites/echoes-vnext/core/realms/http://RealmGenerator.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/core/realms/http://RealmService.gd,Echoes vNext Working GDD V2: later or harder stages can use richer multi-objective structures and stronger replay differentiation.,Open,Draft,Complete the Realm layer so the late game has enough structural variety to carry the full concept.,DIRECTIVE / INTEL / STAGE,Stages,New,Full Game
